"year","zone","type","measure","value"
"2008","S01002028","Flats","Count",330
"2008","S01002028","Semi-Detached","Count",12
"2010","S01002028","Semi-Detached","Count",12
"2007","S01002028","Semi-Detached","Count",12
"2011","S01002028","Semi-Detached","Count",12
"2012","S01002028","Semi-Detached","Count",12
"2006","S01002028","Semi-Detached","Count",29
"2013","S01002028","Semi-Detached","Count",12
"2009","S01002028","Semi-Detached","Count",12
"2013","S01002028","Terraced","Count",31
"2012","S01002028","Terraced","Count",31
"2008","S01002028","Terraced","Count",31
"2006","S01002028","Terraced","Count",31
"2009","S01002028","Terraced","Count",31
"2011","S01002028","Terraced","Count",31
"2007","S01002028","Terraced","Count",31
"2010","S01002028","Terraced","Count",31
"2006","S01002028","Unknown","Count",31
"2011","S01002028","Unknown","Count",2
"2007","S01002028","Unknown","Count",31
"2008","S01002028","Unknown","Count",3
"2012","S01002028","Unknown","Count",2
"2010","S01002028","Unknown","Count",2
"2009","S01002028","Unknown","Count",2
"2013","S01002028","Unknown","Count",2
"2009","S01002028","Detached","Count",8
"2006","S01002028","Detached","Count",22
"2012","S01002028","Detached","Count",8
"2008","S01002028","Unknown","Ratio","0.78"
"2008","S01002028","Terraced","Ratio","8.07"
"2011","S01002028","Terraced","Ratio","8.07"
"2007","S01002028","Unknown","Ratio","7.95"
"2011","S01002028","Unknown","Ratio","0.52"
"2006","S01002028","Unknown","Ratio","7.19"
"2007","S01002028","Semi-Detached","Ratio","3.08"
"2013","S01002028","Unknown","Ratio","0.52"
"2006","S01002028","Semi-Detached","Ratio","6.73"
"2009","S01002028","Unknown","Ratio","0.52"
"2007","S01002028","Flats","Ratio","77.95"
"2012","S01002028","Semi-Detached","Ratio","3.11"
"2010","S01002028","Flats","Ratio","86.3"
"2012","S01002028","Unknown","Ratio","0.52"
"2010","S01002028","Unknown","Ratio","0.52"
"2012","S01002028","Terraced","Ratio","8.03"
"2006","S01002028","Terraced","Ratio","7.19"
"2013","S01002028","Detached","Ratio","2.08"
"2009","S01002028","Detached","Ratio","2.08"
"2009","S01002028","Flats","Ratio","86.23"
"2006","S01002028","Flats","Ratio","73.78"
"2013","S01002028","Flats","Ratio","86.23"
"2007","S01002028","Detached","Ratio","3.08"
"2012","S01002028","Detached","Ratio","2.07"
"2013","S01002028","Terraced","Ratio","8.05"
"2011","S01002028","Detached","Ratio","2.08"
"2013","S01002028","Semi-Detached","Ratio","3.12"
"2009","S01002028","Semi-Detached","Ratio","3.12"
"2006","S01002028","Detached","Ratio","5.1"
"2008","S01002028","Detached","Ratio","2.08"
"2008","S01002028","Flats","Ratio","85.94"
"2010","S01002028","Detached","Ratio","2.07"
"2009","S01002028","Terraced","Ratio","8.05"
"2012","S01002028","Flats","Ratio","86.27"
"2011","S01002028","Flats","Ratio","86.2"
"2007","S01002028","Terraced","Ratio","7.95"
"2010","S01002028","Semi-Detached","Ratio","3.1"
"2008","S01002028","Semi-Detached","Ratio","3.13"
"2010","S01002028","Terraced","Ratio","8.01"
"2011","S01002028","Semi-Detached","Ratio","3.13"
"2013","S01002029","Detached","Count",0
"2011","S01002029","Detached","Count",0
"2007","S01002029","Detached","Count",0
"2008","S01002029","Detached","Count",0
"2010","S01002029","Detached","Count",0
"2004","S01002029","All","Count",280
"2005","S01002029","All","Count",280
"2006","S01002029","All","Count",282
"2007","S01002029","All","Count",283
"2008","S01002029","All","Count",283
"2009","S01002029","All","Count",283
"2010","S01002029","All","Count",283
"2011","S01002029","All","Count",283
"2012","S01002029","All","Count",281
"2013","S01002029","All","Count",283
"2003","S01002029","All","Count",280
"2010","S01002029","Flats","Count",283
"2006","S01002029","Flats","Count",282
"2012","S01002029","Flats","Count",281
"2011","S01002029","Flats","Count",283
"2009","S01002029","Flats","Count",283
"2013","S01002029","Flats","Count",283
"2007","S01002029","Flats","Count",283
"2008","S01002029","Flats","Count",283
"2008","S01002029","Semi-Detached","Count",0
"2010","S01002029","Semi-Detached","Count",0
"2007","S01002029","Semi-Detached","Count",0
"2011","S01002029","Semi-Detached","Count",0
"2012","S01002029","Semi-Detached","Count",0
"2006","S01002029","Semi-Detached","Count",0
"2013","S01002029","Semi-Detached","Count",0
"2009","S01002029","Semi-Detached","Count",0
"2013","S01002029","Terraced","Count",0
"2012","S01002029","Terraced","Count",0
"2008","S01002029","Terraced","Count",0
"2006","S01002029","Terraced","Count",0
"2009","S01002029","Terraced","Count",0
"2011","S01002029","Terraced","Count",0
"2007","S01002029","Terraced","Count",0
"2010","S01002029","Terraced","Count",0
"2006","S01002029","Unknown","Count",0
"2011","S01002029","Unknown","Count",0
"2007","S01002029","Unknown","Count",0
"2008","S01002029","Unknown","Count",0
"2012","S01002029","Unknown","Count",0
"2010","S01002029","Unknown","Count",0
"2009","S01002029","Unknown","Count",0
"2013","S01002029","Unknown","Count",0
"2009","S01002029","Detached","Count",0
"2006","S01002029","Detached","Count",0
"2012","S01002029","Detached","Count",0
"2008","S01002029","Unknown","Ratio",0
"2008","S01002029","Terraced","Ratio",0
"2011","S01002029","Terraced","Ratio",0
"2007","S01002029","Unknown","Ratio",0
"2011","S01002029","Unknown","Ratio",0
"2006","S01002029","Unknown","Ratio",0
"2007","S01002029","Semi-Detached","Ratio",0
"2013","S01002029","Unknown","Ratio",0
"2006","S01002029","Semi-Detached","Ratio",0
"2009","S01002029","Unknown","Ratio",0
"2007","S01002029","Flats","Ratio",100
"2012","S01002029","Semi-Detached","Ratio",0
"2010","S01002029","Flats","Ratio",100
"2012","S01002029","Unknown","Ratio",0
"2010","S01002029","Unknown","Ratio",0
"2012","S01002029","Terraced","Ratio",0
"2006","S01002029","Terraced","Ratio",0
"2013","S01002029","Detached","Ratio",0
"2009","S01002029","Detached","Ratio",0
"2009","S01002029","Flats","Ratio",100
"2006","S01002029","Flats","Ratio",100
"2013","S01002029","Flats","Ratio",100
"2007","S01002029","Detached","Ratio",0
"2012","S01002029","Detached","Ratio",0
"2013","S01002029","Terraced","Ratio",0
"2011","S01002029","Detached","Ratio",0
"2013","S01002029","Semi-Detached","Ratio",0
"2009","S01002029","Semi-Detached","Ratio",0
"2006","S01002029","Detached","Ratio",0
"2008","S01002029","Detached","Ratio",0
"2008","S01002029","Flats","Ratio",100
"2010","S01002029","Detached","Ratio",0
"2009","S01002029","Terraced","Ratio",0
"2012","S01002029","Flats","Ratio",100
"2011","S01002029","Flats","Ratio",100
"2007","S01002029","Terraced","Ratio",0
"2010","S01002029","Semi-Detached","Ratio",0
"2008","S01002029","Semi-Detached","Ratio",0
"2010","S01002029","Terraced","Ratio",0
"2011","S01002029","Semi-Detached","Ratio",0
"2013","S01002030","Detached","Count",0
"2011","S01002030","Detached","Count",0
"2007","S01002030","Detached","Count",0
"2008","S01002030","Detached","Count",0
"2010","S01002030","Detached","Count",0
"2004","S01002030","All","Count",496
"2005","S01002030","All","Count",496
"2006","S01002030","All","Count",496
"2007","S01002030","All","Count",496
"2008","S01002030","All","Count",496
"2009","S01002030","All","Count",497
"2010","S01002030","All","Count",497
"2011","S01002030","All","Count",498
"2012","S01002030","All","Count",498
"2013","S01002030","All","Count",498
"2003","S01002030","All","Count",496
"2010","S01002030","Flats","Count",497
"2006","S01002030","Flats","Count",496
"2012","S01002030","Flats","Count",498
"2011","S01002030","Flats","Count",498
"2009","S01002030","Flats","Count",497
"2013","S01002030","Flats","Count",498
"2007","S01002030","Flats","Count",496
"2008","S01002030","Flats","Count",496
"2008","S01002030","Semi-Detached","Count",0
"2010","S01002030","Semi-Detached","Count",0
"2007","S01002030","Semi-Detached","Count",0
"2011","S01002030","Semi-Detached","Count",0
"2012","S01002030","Semi-Detached","Count",0
"2006","S01002030","Semi-Detached","Count",0
"2013","S01002030","Semi-Detached","Count",0
"2009","S01002030","Semi-Detached","Count",0
"2013","S01002030","Terraced","Count",0
"2012","S01002030","Terraced","Count",0
"2008","S01002030","Terraced","Count",0
"2006","S01002030","Terraced","Count",0
"2009","S01002030","Terraced","Count",0
"2011","S01002030","Terraced","Count",0
"2007","S01002030","Terraced","Count",0
"2010","S01002030","Terraced","Count",0
"2006","S01002030","Unknown","Count",0
"2011","S01002030","Unknown","Count",0
"2007","S01002030","Unknown","Count",0
"2008","S01002030","Unknown","Count",0
"2012","S01002030","Unknown","Count",0
"2010","S01002030","Unknown","Count",0
"2009","S01002030","Unknown","Count",0
"2013","S01002030","Unknown","Count",0
"2009","S01002030","Detached","Count",0
"2006","S01002030","Detached","Count",0
"2012","S01002030","Detached","Count",0
"2008","S01002030","Unknown","Ratio",0
"2008","S01002030","Terraced","Ratio",0
"2011","S01002030","Terraced","Ratio",0
"2007","S01002030","Unknown","Ratio",0
"2011","S01002030","Unknown","Ratio",0
"2006","S01002030","Unknown","Ratio",0
"2007","S01002030","Semi-Detached","Ratio",0
"2013","S01002030","Unknown","Ratio",0
"2006","S01002030","Semi-Detached","Ratio",0
"2009","S01002030","Unknown","Ratio",0
"2007","S01002030","Flats","Ratio",100
"2012","S01002030","Semi-Detached","Ratio",0
"2010","S01002030","Flats","Ratio",100
"2012","S01002030","Unknown","Ratio",0
"2010","S01002030","Unknown","Ratio",0
"2012","S01002030","Terraced","Ratio",0
"2006","S01002030","Terraced","Ratio",0
"2013","S01002030","Detached","Ratio",0
"2009","S01002030","Detached","Ratio",0
"2009","S01002030","Flats","Ratio",100
"2006","S01002030","Flats","Ratio",100
"2013","S01002030","Flats","Ratio",100
"2007","S01002030","Detached","Ratio",0
"2012","S01002030","Detached","Ratio",0
"2013","S01002030","Terraced","Ratio",0
"2011","S01002030","Detached","Ratio",0
"2013","S01002030","Semi-Detached","Ratio",0
"2009","S01002030","Semi-Detached","Ratio",0
"2006","S01002030","Detached","Ratio",0
"2008","S01002030","Detached","Ratio",0
"2008","S01002030","Flats","Ratio",100
"2010","S01002030","Detached","Ratio",0
"2009","S01002030","Terraced","Ratio",0
"2012","S01002030","Flats","Ratio",100
"2011","S01002030","Flats","Ratio",100
"2007","S01002030","Terraced","Ratio",0
"2010","S01002030","Semi-Detached","Ratio",0
"2008","S01002030","Semi-Detached","Ratio",0
"2010","S01002030","Terraced","Ratio",0
"2011","S01002030","Semi-Detached","Ratio",0
"2013","S01002031","Detached","Count",1
"2011","S01002031","Detached","Count",1
"2007","S01002031","Detached","Count",1
"2008","S01002031","Detached","Count",1
"2010","S01002031","Detached","Count",1
"2004","S01002031","All","Count",434
"2005","S01002031","All","Count",434
"2006","S01002031","All","Count",433
"2007","S01002031","All","Count",433
"2008","S01002031","All","Count",433
"2009","S01002031","All","Count",433
"2010","S01002031","All","Count",433
"2011","S01002031","All","Count",498
"2012","S01002031","All","Count",622
"2013","S01002031","All","Count",622
"2003","S01002031","All","Count",434
"2010","S01002031","Flats","Count",428
"2006","S01002031","Flats","Count",428
"2012","S01002031","Flats","Count",617
"2011","S01002031","Flats","Count",493
"2009","S01002031","Flats","Count",428
"2013","S01002031","Flats","Count",617
"2007","S01002031","Flats","Count",428
"2008","S01002031","Flats","Count",428
"2008","S01002031","Semi-Detached","Count",4
"2010","S01002031","Semi-Detached","Count",4
"2007","S01002031","Semi-Detached","Count",4
"2011","S01002031","Semi-Detached","Count",4
"2012","S01002031","Semi-Detached","Count",4
"2006","S01002031","Semi-Detached","Count",4
"2013","S01002031","Semi-Detached","Count",4
"2009","S01002031","Semi-Detached","Count",4
"2013","S01002031","Terraced","Count",0
"2012","S01002031","Terraced","Count",0
"2008","S01002031","Terraced","Count",0
"2006","S01002031","Terraced","Count",0
"2009","S01002031","Terraced","Count",0
"2011","S01002031","Terraced","Count",0
"2007","S01002031","Terraced","Count",0
"2010","S01002031","Terraced","Count",0
"2006","S01002031","Unknown","Count",0
"2011","S01002031","Unknown","Count",0
"2007","S01002031","Unknown","Count",0
"2008","S01002031","Unknown","Count",0
"2012","S01002031","Unknown","Count",0
"2010","S01002031","Unknown","Count",0
"2009","S01002031","Unknown","Count",0
"2013","S01002031","Unknown","Count",0
"2009","S01002031","Detached","Count",1
"2006","S01002031","Detached","Count",1
"2012","S01002031","Detached","Count",1
"2008","S01002031","Unknown","Ratio",0
"2008","S01002031","Terraced","Ratio",0
"2011","S01002031","Terraced","Ratio",0
"2007","S01002031","Unknown","Ratio",0
"2011","S01002031","Unknown","Ratio",0
"2006","S01002031","Unknown","Ratio",0
"2007","S01002031","Semi-Detached","Ratio","0.92"
"2013","S01002031","Unknown","Ratio",0
"2006","S01002031","Semi-Detached","Ratio","0.92"
"2009","S01002031","Unknown","Ratio",0
"2007","S01002031","Flats","Ratio","98.85"
"2012","S01002031","Semi-Detached","Ratio","0.64"
"2010","S01002031","Flats","Ratio","98.85"
"2012","S01002031","Unknown","Ratio",0
"2010","S01002031","Unknown","Ratio",0
"2012","S01002031","Terraced","Ratio",0
"2006","S01002031","Terraced","Ratio",0
"2013","S01002031","Detached","Ratio","0.16"
"2009","S01002031","Detached","Ratio","0.23"
"2009","S01002031","Flats","Ratio","98.85"
"2006","S01002031","Flats","Ratio","98.85"
"2013","S01002031","Flats","Ratio","99.2"
"2007","S01002031","Detached","Ratio","0.23"
"2012","S01002031","Detached","Ratio","0.16"
"2013","S01002031","Terraced","Ratio",0
"2011","S01002031","Detached","Ratio","0.2"
"2013","S01002031","Semi-Detached","Ratio","0.64"
"2009","S01002031","Semi-Detached","Ratio","0.92"
"2006","S01002031","Detached","Ratio","0.23"
"2008","S01002031","Detached","Ratio","0.23"
"2008","S01002031","Flats","Ratio","98.85"
"2010","S01002031","Detached","Ratio","0.23"
"2009","S01002031","Terraced","Ratio",0
"2012","S01002031","Flats","Ratio","99.2"
"2011","S01002031","Flats","Ratio",99
"2007","S01002031","Terraced","Ratio",0
"2010","S01002031","Semi-Detached","Ratio","0.92"
"2008","S01002031","Semi-Detached","Ratio","0.92"
"2010","S01002031","Terraced","Ratio",0
"2011","S01002031","Semi-Detached","Ratio","0.8"
"2013","S01002032","Detached","Count",3
"2011","S01002032","Detached","Count",3
"2007","S01002032","Detached","Count",4
"2008","S01002032","Detached","Count",3
"2010","S01002032","Detached","Count",3
"2004","S01002032","All","Count",392
"2005","S01002032","All","Count",393
"2006","S01002032","All","Count",393
"2007","S01002032","All","Count",394
"2008","S01002032","All","Count",394
"2009","S01002032","All","Count",392
"2010","S01002032","All","Count",393
"2011","S01002032","All","Count",392
"2012","S01002032","All","Count",392
"2013","S01002032","All","Count",392
"2003","S01002032","All","Count",394
"2010","S01002032","Flats","Count",377
"2006","S01002032","Flats","Count",375
"2012","S01002032","Flats","Count",376
"2011","S01002032","Flats","Count",376
"2009","S01002032","Flats","Count",376
"2013","S01002032","Flats","Count",376
"2007","S01002032","Flats","Count",377
"2008","S01002032","Flats","Count",378
"2008","S01002032","Semi-Detached","Count",2
"2010","S01002032","Semi-Detached","Count",2
"2007","S01002032","Semi-Detached","Count",2
"2011","S01002032","Semi-Detached","Count",2
"2012","S01002032","Semi-Detached","Count",2
"2006","S01002032","Semi-Detached","Count",2
"2013","S01002032","Semi-Detached","Count",2
"2009","S01002032","Semi-Detached","Count",2
"2013","S01002032","Terraced","Count",10
"2012","S01002032","Terraced","Count",10
"2008","S01002032","Terraced","Count",10
"2006","S01002032","Terraced","Count",11
"2009","S01002032","Terraced","Count",10
"2011","S01002032","Terraced","Count",10
"2007","S01002032","Terraced","Count",10
"2010","S01002032","Terraced","Count",10
"2006","S01002032","Unknown","Count",1
"2011","S01002032","Unknown","Count",1
"2007","S01002032","Unknown","Count",1
"2008","S01002032","Unknown","Count",1
"2012","S01002032","Unknown","Count",1
"2010","S01002032","Unknown","Count",1
"2009","S01002032","Unknown","Count",1
"2013","S01002032","Unknown","Count",1
"2009","S01002032","Detached","Count",3
"2006","S01002032","Detached","Count",4
"2012","S01002032","Detached","Count",3
"2008","S01002032","Unknown","Ratio","0.25"
"2008","S01002032","Terraced","Ratio","2.54"
"2011","S01002032","Terraced","Ratio","2.55"
"2007","S01002032","Unknown","Ratio","0.25"
"2011","S01002032","Unknown","Ratio","0.26"
"2006","S01002032","Unknown","Ratio","0.25"
"2007","S01002032","Semi-Detached","Ratio","0.51"
"2013","S01002032","Unknown","Ratio","0.26"
"2006","S01002032","Semi-Detached","Ratio","0.51"
"2009","S01002032","Unknown","Ratio","0.26"
"2007","S01002032","Flats","Ratio","95.69"
"2012","S01002032","Semi-Detached","Ratio","0.51"
"2010","S01002032","Flats","Ratio","95.93"
"2012","S01002032","Unknown","Ratio","0.26"
"2010","S01002032","Unknown","Ratio","0.25"
"2012","S01002032","Terraced","Ratio","2.55"
"2006","S01002032","Terraced","Ratio","2.8"
"2013","S01002032","Detached","Ratio","0.77"
"2009","S01002032","Detached","Ratio","0.77"
"2009","S01002032","Flats","Ratio","95.92"
"2006","S01002032","Flats","Ratio","95.42"
"2013","S01002032","Flats","Ratio","95.92"
"2007","S01002032","Detached","Ratio","1.02"
"2012","S01002032","Detached","Ratio","0.77"
"2013","S01002032","Terraced","Ratio","2.55"
"2011","S01002032","Detached","Ratio","0.77"
"2013","S01002032","Semi-Detached","Ratio","0.51"
"2009","S01002032","Semi-Detached","Ratio","0.51"
"2006","S01002032","Detached","Ratio","1.02"
"2008","S01002032","Detached","Ratio","0.76"
"2008","S01002032","Flats","Ratio","95.94"
"2010","S01002032","Detached","Ratio","0.76"
"2009","S01002032","Terraced","Ratio","2.55"
"2012","S01002032","Flats","Ratio","95.92"
"2011","S01002032","Flats","Ratio","95.92"
"2007","S01002032","Terraced","Ratio","2.54"
"2010","S01002032","Semi-Detached","Ratio","0.51"
"2008","S01002032","Semi-Detached","Ratio","0.51"
"2010","S01002032","Terraced","Ratio","2.54"
"2011","S01002032","Semi-Detached","Ratio","0.51"
"2013","S01002033","Detached","Count",3
"2011","S01002033","Detached","Count",3
"2007","S01002033","Detached","Count",3
"2008","S01002033","Detached","Count",3
"2010","S01002033","Detached","Count",3
"2004","S01002033","All","Count",533
"2005","S01002033","All","Count",532
"2006","S01002033","All","Count",532
"2007","S01002033","All","Count",529
"2008","S01002033","All","Count",535
"2009","S01002033","All","Count",536
"2010","S01002033","All","Count",536
"2011","S01002033","All","Count",537
"2012","S01002033","All","Count",541
"2013","S01002033","All","Count",540
"2003","S01002033","All","Count",533
"2010","S01002033","Flats","Count",524
"2006","S01002033","Flats","Count",522
"2012","S01002033","Flats","Count",529
"2011","S01002033","Flats","Count",525
"2009","S01002033","Flats","Count",524
"2013","S01002033","Flats","Count",528
"2007","S01002033","Flats","Count",519
"2008","S01002033","Flats","Count",523
"2008","S01002033","Semi-Detached","Count",1
"2010","S01002033","Semi-Detached","Count",1
"2007","S01002033","Semi-Detached","Count",1
"2011","S01002033","Semi-Detached","Count",1
"2012","S01002033","Semi-Detached","Count",1
"2006","S01002033","Semi-Detached","Count",1
"2013","S01002033","Semi-Detached","Count",1
"2009","S01002033","Semi-Detached","Count",1
"2013","S01002033","Terraced","Count",8
"2012","S01002033","Terraced","Count",8
"2008","S01002033","Terraced","Count",8
"2006","S01002033","Terraced","Count",6
"2009","S01002033","Terraced","Count",8
"2011","S01002033","Terraced","Count",8
"2007","S01002033","Terraced","Count",6
"2010","S01002033","Terraced","Count",8
"2006","S01002033","Unknown","Count",0
"2011","S01002033","Unknown","Count",0
"2007","S01002033","Unknown","Count",0
"2008","S01002033","Unknown","Count",0
"2012","S01002033","Unknown","Count",0
"2010","S01002033","Unknown","Count",0
"2009","S01002033","Unknown","Count",0
"2013","S01002033","Unknown","Count",0
"2009","S01002033","Detached","Count",3
"2006","S01002033","Detached","Count",3
"2012","S01002033","Detached","Count",3
"2008","S01002033","Unknown","Ratio",0
"2008","S01002033","Terraced","Ratio","1.5"
"2011","S01002033","Terraced","Ratio","1.49"
"2007","S01002033","Unknown","Ratio",0
"2011","S01002033","Unknown","Ratio",0
"2006","S01002033","Unknown","Ratio",0
"2007","S01002033","Semi-Detached","Ratio","0.19"
"2013","S01002033","Unknown","Ratio",0
"2006","S01002033","Semi-Detached","Ratio","0.19"
"2009","S01002033","Unknown","Ratio",0
"2007","S01002033","Flats","Ratio","98.11"
"2012","S01002033","Semi-Detached","Ratio","0.18"
"2010","S01002033","Flats","Ratio","97.76"
"2012","S01002033","Unknown","Ratio",0
"2010","S01002033","Unknown","Ratio",0
"2012","S01002033","Terraced","Ratio","1.48"
"2006","S01002033","Terraced","Ratio","1.13"
"2013","S01002033","Detached","Ratio","0.56"
"2009","S01002033","Detached","Ratio","0.56"
"2009","S01002033","Flats","Ratio","97.76"
"2006","S01002033","Flats","Ratio","98.12"
"2013","S01002033","Flats","Ratio","97.78"
"2007","S01002033","Detached","Ratio","0.57"
"2012","S01002033","Detached","Ratio","0.55"
"2013","S01002033","Terraced","Ratio","1.48"
"2011","S01002033","Detached","Ratio","0.56"
"2013","S01002033","Semi-Detached","Ratio","0.19"
"2009","S01002033","Semi-Detached","Ratio","0.19"
"2006","S01002033","Detached","Ratio","0.56"
"2008","S01002033","Detached","Ratio","0.56"
"2008","S01002033","Flats","Ratio","97.76"
"2010","S01002033","Detached","Ratio","0.56"
"2009","S01002033","Terraced","Ratio","1.49"
"2012","S01002033","Flats","Ratio","97.78"
"2011","S01002033","Flats","Ratio","97.77"
"2007","S01002033","Terraced","Ratio","1.13"
"2010","S01002033","Semi-Detached","Ratio","0.19"
"2008","S01002033","Semi-Detached","Ratio","0.19"
"2010","S01002033","Terraced","Ratio","1.49"
"2011","S01002033","Semi-Detached","Ratio","0.19"
"2013","S01002034","Detached","Count",0
"2011","S01002034","Detached","Count",0
"2007","S01002034","Detached","Count",0
"2008","S01002034","Detached","Count",0
"2010","S01002034","Detached","Count",0
"2004","S01002034","All","Count",454
"2005","S01002034","All","Count",456
"2006","S01002034","All","Count",456
"2007","S01002034","All","Count",456
"2008","S01002034","All","Count",457
"2009","S01002034","All","Count",457
"2010","S01002034","All","Count",457
"2011","S01002034","All","Count",457
"2012","S01002034","All","Count",457
"2013","S01002034","All","Count",457
"2003","S01002034","All","Count",454
"2010","S01002034","Flats","Count",451
"2006","S01002034","Flats","Count",450
"2012","S01002034","Flats","Count",451
"2011","S01002034","Flats","Count",451
"2009","S01002034","Flats","Count",451
"2013","S01002034","Flats","Count",451
"2007","S01002034","Flats","Count",450
"2008","S01002034","Flats","Count",451
"2008","S01002034","Semi-Detached","Count",0
"2010","S01002034","Semi-Detached","Count",0
"2007","S01002034","Semi-Detached","Count",0
"2011","S01002034","Semi-Detached","Count",0
"2012","S01002034","Semi-Detached","Count",0
"2006","S01002034","Semi-Detached","Count",0
"2013","S01002034","Semi-Detached","Count",0
"2009","S01002034","Semi-Detached","Count",0
"2013","S01002034","Terraced","Count",6
"2012","S01002034","Terraced","Count",6
"2008","S01002034","Terraced","Count",6
"2006","S01002034","Terraced","Count",6
"2009","S01002034","Terraced","Count",6
"2011","S01002034","Terraced","Count",6
"2007","S01002034","Terraced","Count",6
"2010","S01002034","Terraced","Count",6
"2006","S01002034","Unknown","Count",0
"2011","S01002034","Unknown","Count",0
"2007","S01002034","Unknown","Count",0
"2008","S01002034","Unknown","Count",0
"2012","S01002034","Unknown","Count",0
"2010","S01002034","Unknown","Count",0
"2009","S01002034","Unknown","Count",0
"2013","S01002034","Unknown","Count",0
"2009","S01002034","Detached","Count",0
"2006","S01002034","Detached","Count",0
"2012","S01002034","Detached","Count",0
"2008","S01002034","Unknown","Ratio",0
"2008","S01002034","Terraced","Ratio","1.31"
"2011","S01002034","Terraced","Ratio","1.31"
"2007","S01002034","Unknown","Ratio",0
"2011","S01002034","Unknown","Ratio",0
"2006","S01002034","Unknown","Ratio",0
"2007","S01002034","Semi-Detached","Ratio",0
"2013","S01002034","Unknown","Ratio",0
"2006","S01002034","Semi-Detached","Ratio",0
"2009","S01002034","Unknown","Ratio",0
"2007","S01002034","Flats","Ratio","98.68"
"2012","S01002034","Semi-Detached","Ratio",0
"2010","S01002034","Flats","Ratio","98.69"
"2012","S01002034","Unknown","Ratio",0
"2010","S01002034","Unknown","Ratio",0
"2012","S01002034","Terraced","Ratio","1.31"
"2006","S01002034","Terraced","Ratio","1.32"
"2013","S01002034","Detached","Ratio",0
"2009","S01002034","Detached","Ratio",0
"2009","S01002034","Flats","Ratio","98.69"
"2006","S01002034","Flats","Ratio","98.68"
"2013","S01002034","Flats","Ratio","98.69"
"2007","S01002034","Detached","Ratio",0
"2012","S01002034","Detached","Ratio",0
"2013","S01002034","Terraced","Ratio","1.31"
"2011","S01002034","Detached","Ratio",0
"2013","S01002034","Semi-Detached","Ratio",0
"2009","S01002034","Semi-Detached","Ratio",0
"2006","S01002034","Detached","Ratio",0
"2008","S01002034","Detached","Ratio",0
"2008","S01002034","Flats","Ratio","98.69"
"2010","S01002034","Detached","Ratio",0
"2009","S01002034","Terraced","Ratio","1.31"
"2012","S01002034","Flats","Ratio","98.69"
"2011","S01002034","Flats","Ratio","98.69"
"2007","S01002034","Terraced","Ratio","1.32"
"2010","S01002034","Semi-Detached","Ratio",0
"2008","S01002034","Semi-Detached","Ratio",0
"2010","S01002034","Terraced","Ratio","1.31"
"2011","S01002034","Semi-Detached","Ratio",0
"2013","S01002035","Detached","Count",69
"2011","S01002035","Detached","Count",69
"2007","S01002035","Detached","Count",68
"2008","S01002035","Detached","Count",68
"2010","S01002035","Detached","Count",69
"2004","S01002035","All","Count",312
"2005","S01002035","All","Count",312
"2006","S01002035","All","Count",312
"2007","S01002035","All","Count",312
"2008","S01002035","All","Count",313
"2009","S01002035","All","Count",313
"2010","S01002035","All","Count",313
"2011","S01002035","All","Count",313
"2012","S01002035","All","Count",313
"2013","S01002035","All","Count",313
"2003","S01002035","All","Count",312
"2010","S01002035","Flats","Count",178
"2006","S01002035","Flats","Count",178
"2012","S01002035","Flats","Count",178
"2011","S01002035","Flats","Count",178
"2009","S01002035","Flats","Count",179
"2013","S01002035","Flats","Count",178
"2007","S01002035","Flats","Count",179
"2008","S01002035","Flats","Count",179
"2008","S01002035","Semi-Detached","Count",19
"2010","S01002035","Semi-Detached","Count",19
"2007","S01002035","Semi-Detached","Count",19
"2011","S01002035","Semi-Detached","Count",19
"2012","S01002035","Semi-Detached","Count",19
"2006","S01002035","Semi-Detached","Count",19
"2013","S01002035","Semi-Detached","Count",19
"2009","S01002035","Semi-Detached","Count",19
"2013","S01002035","Terraced","Count",47
"2012","S01002035","Terraced","Count",47
"2008","S01002035","Terraced","Count",47
"2006","S01002035","Terraced","Count",47
"2009","S01002035","Terraced","Count",47
"2011","S01002035","Terraced","Count",47
"2007","S01002035","Terraced","Count",46
"2010","S01002035","Terraced","Count",47
"2006","S01002035","Unknown","Count",0
"2011","S01002035","Unknown","Count",0
"2007","S01002035","Unknown","Count",0
"2008","S01002035","Unknown","Count",0
"2012","S01002035","Unknown","Count",0
"2010","S01002035","Unknown","Count",0
"2009","S01002035","Unknown","Count",0
"2013","S01002035","Unknown","Count",0
"2009","S01002035","Detached","Count",68
"2006","S01002035","Detached","Count",68
"2012","S01002035","Detached","Count",69
"2008","S01002035","Unknown","Ratio",0
"2008","S01002035","Terraced","Ratio","15.02"
"2011","S01002035","Terraced","Ratio","15.02"
"2007","S01002035","Unknown","Ratio",0
"2011","S01002035","Unknown","Ratio",0
"2006","S01002035","Unknown","Ratio",0
"2007","S01002035","Semi-Detached","Ratio","6.09"
"2013","S01002035","Unknown","Ratio",0
"2006","S01002035","Semi-Detached","Ratio","6.09"
"2009","S01002035","Unknown","Ratio",0
"2007","S01002035","Flats","Ratio","57.37"
"2012","S01002035","Semi-Detached","Ratio","6.07"
"2010","S01002035","Flats","Ratio","56.87"
"2012","S01002035","Unknown","Ratio",0
"2010","S01002035","Unknown","Ratio",0
"2012","S01002035","Terraced","Ratio","15.02"
"2006","S01002035","Terraced","Ratio","15.06"
"2013","S01002035","Detached","Ratio","22.04"
"2009","S01002035","Detached","Ratio","21.73"
